,method,roc,r2,annual_r2,seasonal_r2,spatial_r2,spatial_auc,bias
0,training,0.8958680994692965,0.084698777778789,0.67334722364812,0.9822526234681507,0.1227663678325811,0.7955196797659694,0.0024981773581846684
1,split_halves_0,0.8926562735476513,0.058196341564648923,0.7550890020016903,0.9724342291078795,0.04559737106571582,0.8082626186178163,0.09072993341606661
2,split_halves_1,0.9074660782830644,0.05122423052037201,0.5017800643960122,0.7036640128781417,0.07020046415907943,0.8117236019735037,-0.35798601684686976
3,split_halves_2,0.8840812513635882,0.07424940879251203,0.6895841111392387,0.9445783337810516,0.02432820926444501,0.7717992834155539,0.1817490720872142
4,split_halves_3,0.894296533593943,0.07201813472244752,0.5335536641206743,0.9155819716412226,0.0027672097668609563,0.7734657153790347,0.2116263937443626
5,split_halves_4,0.8938086143167272,0.0748198899163882,0.8168791707815679,0.9414599410243721,0.009585435116360563,0.7498329742111076,0.26665285892699414
6,split_halves_5,0.8951413225032269,0.07169709068680467,0.4836674125679876,0.9088121021565853,0.06301984454842446,0.7680067081274314,-0.06894218352464021
7,split_halves_6,0.8857945055219827,0.080194149096646,0.7550701833061179,0.8675936587530334,-0.050340477918343174,0.7539543874246878,0.44872556404712693
8,split_halves_7,0.868317692520619,0.07428122372861723,0.7261489508346836,0.9271873329078548,0.02150317486037845,0.7520651455138151,0.18856705452373318
9,split_halves_8,0.9028424658407801,0.06785499051209261,0.5412749615837853,0.9178777635051251,0.09104475679696755,0.8130161693081226,-0.1759290769643152
10,split_halves_9,0.8994715040236254,0.07027001303839085,0.587887013478948,0.9209098444879661,0.08592720113819785,0.7638784582549427,-0.11701916320800781
11,extrapolate_0,0.8918502027064624,0.057814468653851356,0.5816680412809632,0.6760898945912293,0.0729838655249605,0.8200798404785946,-0.4482783692807067
12,extrapolate_1,0.8930445676708253,0.06058487267707548,0.5811807124714417,0.6676259813431416,0.07226315880325651,0.8196175451785255,-0.45885729494515687
13,extrapolate_2,0.8939947491551629,0.06196485293870249,0.515771734791274,0.6601556260213695,0.061794755681422786,0.8025056714744322,-0.5332702805961961
14,extrapolate_3,0.89782942116054,0.06386922751286468,0.5192239736244295,0.6493352632413589,0.060911601352805156,0.8106357114724628,-0.5150021290137405
15,extrapolate_4,0.9019449848214239,0.06398159036882668,0.51324049060322,0.6568063556780777,0.055602305175248,0.807294103870466,-0.5146772701045801
16,extrapolate_5,0.9050683331978246,0.05944433873561104,0.41354217657907544,0.6542231345773912,0.055323825490435796,0.815129374093835,-0.5174512120587417
17,extrapolate_6,0.9110518860809694,0.06042559190139826,0.38625906554225686,0.596888308136063,0.04622828059939443,0.8280676435359298,-0.5111924810855925
18,extrapolate_7,0.9106192993635623,0.06998188760923515,0.5483780191477831,0.48018981583969855,0.03790535310376597,0.8190358263630518,-0.6371484392470134
19,extrapolate_8,0.9123123285314527,0.08010802219307193,0.5859878936014673,0.5333450661833674,0.035771309121376715,0.8250901071203528,-0.6015754605684861
20,extrapolate_9,0.9113548995782715,0.08484828830475606,0.8065919113058754,0.5120627899676118,0.028825836863822896,0.8269658649034438,-0.6323835750641963
21,shuffle_months_0,0.7833679728527576,0.05953843266977748,-0.0573325057570051,0.02535812300127893,0.15640341690884418,0.7540839082457764,0.0024384106404150042
22,shuffle_months_1,0.7831264678401193,0.06481303713689969,0.08462422314035778,0.23325743813148836,0.15729006505401333,0.7619415568824679,0.0024973922153638034
23,shuffle_months_2,0.7829157774523529,0.06307991877830114,-0.07415549529782028,-0.1400153237574029,0.1571715660341475,0.7585524414908986,0.002523104507750906
24,shuffle_months_3,0.7801784278212882,0.0606282291243529,0.05792158090617017,-0.09877278080215546,0.15162361267788693,0.750725895389674,0.0024678184723201948
25,shuffle_months_4,0.7843880043618816,0.06269633075354876,0.04572054505584966,0.1906519138395033,0.1603550664744492,0.7603728699850069,0.0024865969686750644
26,shuffle_months_5,0.7824943390896577,0.06549884400185266,0.29678182019761845,0.001141035743055574,0.15490137230362655,0.7542667301119633,0.002546787627252096
27,shuffle_months_6,0.7841619654739788,0.06675268972358359,-0.22286909067716842,0.09130904440859555,0.16011467730124007,0.763163624916212,0.0024388382186072755
28,shuffle_months_7,0.7837219204861083,0.06317643638957583,0.00018419112563505813,0.11583337127672055,0.15677544595894677,0.7594779163277847,0.002468890802882019
29,shuffle_months_8,0.7809271402142843,0.06036278709908739,-0.06244301463588897,-0.12371128038778156,0.153638504467683,0.7531482887501257,0.002511533279929318
30,shuffle_months_9,0.7841489728392276,0.06259558257543711,-0.09297462207348395,0.07990481050713982,0.15861009086471411,0.7560200992141812,0.00250126612298231
31,shuffle_years_0,0.8572059366558631,0.06974074768440293,0.04671386371072861,0.9393249259712346,0.14923632106103446,0.7908503752942386,0.0026693465646928593
32,shuffle_years_1,0.8566468380000489,0.06688183037821716,0.02479606608300977,0.9344776582301162,0.1521120324896178,0.7895336044001657,0.002525212092986279
33,shuffle_years_2,0.8612116739600834,0.07145533097762576,0.09411362834042147,0.9409303050057328,0.15015540079347,0.7902623775010654,0.002508450926220681
34,shuffle_years_3,0.8631653885105066,0.07343362363693093,0.0032379153351063117,0.9553914350297611,0.14405022267395817,0.8008307719765574,0.002594301904720141
35,shuffle_years_4,0.860110626670586,0.0711117883825117,0.17495938056997673,0.9474795370020714,0.1472772479168344,0.7972276013782784,0.0025050418216201486
36,shuffle_years_5,0.8561112717972367,0.06605925174624298,0.09645800303580476,0.9233011578068104,0.15384505555512562,0.7895871182018432,0.002562204176529621
37,shuffle_years_6,0.8575802381884343,0.06941954921463407,0.1873118296134202,0.9448747148480883,0.15057867474694087,0.7936669424231025,0.0024974313149466803
38,shuffle_years_7,0.8537834639192416,0.06444932387666552,0.18036257178428639,0.9215754312365667,0.1565858881344343,0.7908330944929909,0.002507684149360763
39,shuffle_years_8,0.8558604682756895,0.06793699027784167,0.3621510772823844,0.9267247590090155,0.15246568754275158,0.7891533541032383,0.002443207350630392
40,shuffle_years_9,0.85900186302048,0.07020692045480338,0.0770400398582678,0.9488548022169699,0.14843513434901834,0.7978792576318937,0.0024972846024878255
41,shuffle_all_0,0.5237731531196439,0.003595387646870741,-0.058814216500542305,-0.018528622417774754,-0.002770288595577597,0.5231753712102143,0.025183280340644553
42,shuffle_all_1,0.5215202526987704,0.006774138966054443,0.009276104407778374,0.07295546024301247,-0.0017062829821266057,0.5102135058254759,-0.02467875015105042
43,shuffle_all_2,0.5223554020024694,0.0031858163803303034,-0.03985882304122934,0.017638746974740882,-0.003044803784005401,0.43427316281392486,-0.027296940752464475
44,shuffle_all_3,0.5186986752198945,0.004718334775522351,0.03731401857785421,-0.03283868919338606,-0.0049203557679857735,0.46326664116452543,0.017063672680324608
45,shuffle_all_4,0.5162186267568118,0.007272913621842036,-0.09704588001238923,-0.05167376059830198,-0.004452880125030756,0.4795675672061843,-0.044066355902615685
46,shuffle_all_5,0.5257227929058322,0.005727897663008632,0.09552139209824051,-0.056998644785801966,-0.0014874642286579753,0.4997427791249084,-0.005774866499670198
47,shuffle_all_6,0.5205514356710603,0.004620095113109837,0.023259825942602674,0.019624467615805608,-0.009514642409012675,0.4675857950360353,0.06248389670597021
48,shuffle_all_7,0.518179520683731,0.006342755642926131,-0.05094866387133834,0.03890693841087112,-0.006998694824454255,0.45823265219749587,-0.011130252595299265
49,shuffle_all_8,0.5289517628114292,0.00491143643525516,-0.059355627156096435,-0.06598644612828841,0.0029660143302286945,0.5390905676765011,0.0008891461789248082
50,shuffle_all_9,0.5171553232745818,0.006234103285974391,-0.06207666168022574,0.046348273365478754,0.008731218726275358,0.6079806053890521,-0.0026703426750047192
