"","tempall","pcpall","pdsiall","cwdall","petall","vpdall"
"1",14.6388968549852,10.1687219195106,26.7242615428735,18.9859956027148,12.6696778510659,63.3507790842176
"2",33.0937134412906,0.128789278164317,30.2866886959615,0.315217316941349,14.4168736188932,57.1549028863849
"3",8.20657081336389,1.76599291519066,32.527031094441,2.92016855363386,33.6916255701419,39.8520525109398
"4",20.103986135182,9.94800693240901,45.1646447140381,21.9728480647025,16.83997689197,52.3483535528596
"5",9.67652750898535,4.05838171597088,62.3848032439407,4.73804257672104,4.09409271034928,20.6778177126532
"6",15.8905838845032,9.02585164639784,46.6858687148851,17.6614394424294,6.96963231633597,49.8782092312069
"7",33.0643690736689,19.3859409190372,47.1872720641867,11.2623085339168,18.0958242159008,61.4742888402626
"8",41.8923799205489,16.8833513903936,42.8855182376309,38.7233658360419,33.8840736728061,71.2892741061755
"9",0,0,0,0,0,0
"10",15.8243274230892,0.0392043731368676,50.7256507556088,3.09048813143081,8.66287197922908,46.2541331025453
"11",3.70000429608627,0.0633672724148301,44.1508785496413,0.578539617075511,0.685583766522032,14.9059873122252
"12",73.2512315270936,7.8735632183908,69.9507389162562,3.16091954022989,46.9047619047619,88.5796387520525
"13",68.6872069658406,11.8943960705515,60.6999330207636,22.6557267247153,72.2538513060951,85.4934137084171
"14",24.7198581560284,8.55230496453901,49.5602836879433,1.70478723404255,25.0505319148936,73.5718085106383
"15",38.5574494949495,1.6729797979798,53.154310966811,5.88924963924964,39.0647546897547,74.4701479076479
"16",0,0,0,0,0,0
"17",34.342115913874,1.35482434838919,21.842115913874,0.709284442285899,44.5432653391614,70.3243888619071
"18",19.2572083253771,0.647635414677614,37.0170581121507,24.4669339952899,27.1704538221628,42.8171344917574
"19",20.1399790685505,8.47069597069597,31.8681318681319,3.20512820512821,20.4016221873365,56.8942961800105
"20",0,0,0,0,0,0
"21",0,0,0,0,0,0
"22",4.77212681638045,0.0467855570233377,41.2318361955086,2.28698811096433,4.12263320123294,26.221928665786
"23",43.3743816440375,4.99157983370172,55.5441532470266,7.32291337753921,50.5473108093885,75.9998947479213
"24",0,0,0,0,0,0
"25",12.08807896735,11.419893697798,72.589217919514,14.6279422930904,14.2217160212604,56.7274107820805
"26",0,0,0,0,0,0
"27",0,0,0,0,0,0
"28",8.0738895807389,0.134910751349108,44.3181818181818,8.442299709423,5.9049398090494,39.4691780821918
"29",75.1287597857437,13.8339513803049,23.3673259167697,5.54182117840956,47.275442933663,63.2210548001648
"30",0,0,0,0,0,0
"31",0,0,0,0,0,0
"32",7.84423536439665,0.0348466746316209,83.1254978096376,1.97132616487455,0.8823675826364,13.3686778176025
"33",5.15935508061492,4.6400449943757,66.0067491563555,8.24709411323585,12.5534308211474,53.6426696662917
"34",0,0,0,0,0,0
"35",0,0,0,0,0,0
"36",8.22836947278912,0.0509318310657596,60.1699794501134,1.28525368480726,0.359180130385488,0.954418225623583
"37",25.2039691289967,5.42631385520029,75.2058066887174,8.04483645718486,10.9059169423006,35.6339581036384
"38",0,0,0,0,0,0
"39",0,0,0,0,0,0
"40",1.12437534702943,0.779196742550435,80.8578567462521,4.93614658523043,4.52341291874884,12.4106977605034
"41",0,0,0,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",29.6356554750284,2.7486072080067,37.3564068431692,19.725878814771,17.3655277818863,4.26712024848395
"48",2.63387026556378,0.685676969960818,92.0475983166449,10.9381802350892,12.0374401393121,10.985343201277
