Log_CMIPBA,Log_StatModelBA
-3.134849352,-5.3443257
-3.153657713,-5.293773019
-3.105875265,-5.249681566
-3.037759585,-5.239459465
-2.990326229,-5.220650575
-3.049414614,-5.211003654
-3.087101738,-5.207729527
-3.20001047,-5.194209401
-3.237592369,-5.175014031
-3.142968609,-5.15765744
-3.174678768,-5.111208947
-3.283178947,-5.042983255
-3.351118518,-5.028530086
-3.069887335,-5.027189559
-3.281743869,-5.026073858
-3.049559969,-5.018793159
-3.16503618,-4.973706778
-3.306726999,-4.95299663
-3.166510483,-4.917930843
-3.055673892,-4.90783798
-3.189483078,-4.857495325
-3.221453089,-4.854480112
-3.072749673,-4.844780534
-3.084028528,-4.829648966
-3.243622848,-4.801186303
-3.226885283,-4.797505878
-3.19031723,-4.769450794
-3.221501632,-4.755189215
-3.107356544,-4.746511795
-3.143780777,-4.689563858
-3.116044309,-4.668347148
-3.299232433,-4.65538365
-3.181281788,-4.64272137
-3.375915581,-4.632183973
-2.914808992,-4.630412289
-3.254929374,-4.622032412
-2.909456487,-4.590530225
-3.126333178,-4.575118629
-3.297667511,-4.54885262
-3.43845784,-4.538997352
-3.107875688,-4.536812222
-3.32499278,-4.517402207
-2.932168738,-4.506781436
-3.168835728,-4.505338411
-3.099836961,-4.489308414
-3.151331931,-4.486545862
-3.017941203,-4.484377574
-3.01422913,-4.480165486
-3.160920955,-4.473531711
-3.360090527,-4.446958042
-3.092286803,-4.424604725
-3.144409132,-4.40974202
-3.356140029,-4.409403751
-3.229501709,-4.401680752
-3.403524228,-4.39341335
-2.863038783,-4.38294099
-3.349957636,-4.375957289
-3.471176952,-4.368524025
-3.166159261,-4.336602568
-3.483138199,-4.336363547
-3.383201889,-4.326536828
-3.384296773,-4.312122279
-3.09792702,-4.310852436
-3.044750579,-4.297979767
-3.290471526,-4.292417461
-3.160336722,-4.28864914
-3.216144815,-4.271527398
-3.233292915,-4.264854842
-3.297436473,-4.259077584
-3.312912786,-4.246863119
-3.12283488,-4.228561133
-3.233769503,-4.222019282
-3.407331853,-4.208156183
-2.938484804,-4.205160741
-3.236258384,-4.19007812
-2.874482897,-4.184199878
-3.37547675,-4.182767149
-3.326546392,-4.163278353
-3.313970585,-4.161284741
-3.273485441,-4.160740638
-2.912554787,-4.119544364
-3.386435406,-4.111523061
-2.940613669,-4.107531624
-3.374369746,-4.093760812
-3.412054325,-4.088941354
-3.284182415,-4.059340087
-3.111584737,-4.048511015
-3.427174614,-4.031208971
-3.268541159,-4.026126166
-3.227218872,-4.019455632
-3.238408909,-3.994576133
-3.108513333,-3.989276427
-2.989905721,-3.988275427
-2.999323935,-3.972553647
-3.084443221,-3.971285761
-2.952761639,-3.966616299
