Log_DeltaBA,CMIP_deltacVegTree
-5.346952134,8.901068263
-5.299753573,8.094200333
-5.253826824,8.751356996
-5.247727489,8.783961423
-5.225360656,8.779970796
-5.218515774,8.617466324
-5.211901857,8.653614818
-5.199538033,8.746797995
-5.182215404,8.384367673
-5.165012222,8.566176437
-5.114196577,8.839197478
-5.044950303,8.924910796
-5.034787315,8.844173033
-5.031199808,8.98761673
-5.029382762,8.9086654
-5.0265387,8.660574916
-4.985858568,8.494268409
-4.94447719,6.525701367
-4.926686199,8.320783866
-4.917310753,8.570439497
-4.875394156,8.380089459
-4.867699155,8.948003126
-4.844377668,8.667664382
-4.831167356,8.161455368
-4.825448531,8.394050237
-4.805988936,9.014220636
-4.780452371,8.368950699
-4.767076021,9.365296482
-4.760353317,8.267159096
-4.700698823,9.092554218
-4.684850685,8.790343137
-4.678002866,7.669917238
-4.6719038,8.308837602
-4.658745509,8.301970746
-4.641077301,9.059608819
-4.634389658,6.703525449
-4.596105587,7.369403789
-4.584761458,8.241903198
-4.559390151,9.232166851
-4.554348312,8.016975233
-4.552721713,9.272646281
-4.550396292,8.406923468
-4.523449054,8.021181973
-4.510045544,7.255663753
-4.501647049,8.843424986
-4.500833149,8.853372258
-4.498411235,8.427666976
-4.496710601,8.777401128
-4.492987586,6.112160204
-4.456863951,9.009199695
-4.446221873,8.19089307
-4.442985898,8.155309155
-4.442448783,8.341623613
-4.423485483,9.445251393
-4.405995288,9.132684643
-4.388674897,6.265265924
-4.38753913,8.986532994
-4.384485234,9.279268794
-4.36485988,7.933470613
-4.345006266,9.035013559
-4.341513364,9.46503557
-4.323292057,8.605384562
-4.320427082,8.687603714
-4.311885457,7.873794723
-4.308193795,7.676362004
-4.307707994,9.653754036
-4.306427126,8.92825304
-4.281489589,8.970970701
-4.277244309,9.019066781
-4.258410723,9.232664042
-4.253434378,7.934814735
-4.240180194,8.903606042
-4.236204966,7.965671924
-4.220657575,9.417557887
-4.214339349,7.578184365
-4.20666408,7.777423604
-4.201624068,9.160454783
-4.193819319,6.156909563
-4.174317275,9.633659126
-4.171404077,8.124781914
-4.121984189,9.229667334
-4.120160901,5.753259909
-4.114246333,8.959323922
-4.111715112,5.935681025
-4.110148189,7.781847678
-4.107783242,8.905610741
-4.082110531,7.849483955
-4.072280293,8.153254216
-4.065944345,7.708516202
-4.047866621,9.380351277
-4.039020243,8.04417547
-4.013617066,7.673235869
-4.012309225,8.630226637
-3.992234706,5.542752916
-3.987378603,8.244999708
-3.975850955,7.625311575
-3.974380432,5.398460669
-3.963387843,7.086086925
-3.957744602,8.313365103
-3.945298248,8.047304363
-3.940078459,6.26635375
-3.936756806,7.463135275
-3.903529282,6.709188238
-3.900279764,8.070420162
-3.899359455,8.998492251
-3.897994493,8.66015156
-3.893968855,9.491772646
-3.892109214,7.613741754
-3.890935297,6.48154865
-3.880664837,9.066568061
-3.874832421,7.088648997
-3.867849893,8.90987776
-3.867831996,9.510351407
-3.866119842,5.556973337
-3.854206416,8.681234875
-3.845782146,8.518736918
-3.843473313,7.897185121
-3.840464596,9.779734987
-3.829458504,7.824678734
-3.803099409,8.368227178
-3.776615265,7.288089532
-3.755152246,9.098065046
-3.754001518,8.896048682
-3.749053386,8.952271452
-3.735004754,5.828877955
